date,weight_equity,weight_bond
2009-05-31,0.9,0.1
2009-08-31,0.4155389302382991,0.584461069761701
2009-11-30,0.8653492327437999,0.13465076725620007
2010-02-28,0.8850737898530581,0.1149262101469419
2010-05-31,0.7850566652443788,0.21494333475562122
2010-08-31,0.4947833230477729,0.5052166769522272
2010-11-30,0.5439923859024275,0.4560076140975725
2011-02-28,0.5863962571494236,0.4136037428505765
2011-05-31,0.5028690463497969,0.4971309536502031
2011-08-31,0.42423951055217013,0.5757604894478299
2011-11-30,0.3188898830788003,0.6811101169211997
2012-02-29,0.5006636875857721,0.499336312414228
2012-05-31,0.5177909453930873,0.48220905460691266
2012-08-31,0.49635631894834814,0.5036436810516518
2012-11-30,0.8025655903662169,0.19743440963378306
2013-02-28,0.5294379825199369,0.4705620174800631
2013-05-31,0.5081242847968802,0.49187571520311973
2013-08-31,0.7417641548953112,0.2582358451046888
2013-11-30,0.4557967025672069,0.544203297432793
2014-02-28,0.7290696117273866,0.27093038827261334
2014-05-31,0.5110750665996638,0.48892493340033616
2014-08-31,0.4625335461486725,0.5374664538513275
2014-11-30,0.49128824768449086,0.5087117523155091
2015-02-28,0.4697595267363231,0.530240473263677
2015-05-31,0.8145733366678997,0.18542666333210034
2015-08-31,0.6778565105934757,0.32214348940652426
2015-11-30,0.4945471927504949,0.5054528072495051
2016-02-29,0.4660491778305733,0.5339508221694267
2016-05-31,0.5073729086584077,0.4926270913415923
2016-08-31,0.48905382061651026,0.5109461793834897
2016-11-30,0.5248330210844248,0.47516697891557524
2017-02-28,0.5009030848674265,0.4990969151325734
2017-05-31,0.5210063972711271,0.4789936027288729
2017-08-31,0.4846486517111222,0.5153513482888779
2017-11-30,0.5164803394827631,0.483519660517237
2018-02-28,0.5879882093409514,0.4120117906590485
2018-05-31,0.5315613451698535,0.46843865483014646
2018-08-31,0.5543248409502766,0.44567515904972343
2018-11-30,0.5435402806729585,0.45645971932704155
2019-02-28,0.4749740104876864,0.5250259895123136
2019-05-31,0.4327912903099489,0.5672087096900511
2019-08-31,0.5753038379549933,0.4246961620450067
2019-11-30,0.4225969408105981,0.5774030591894019
2020-02-29,0.7421463612692295,0.25785363873077055
2020-05-31,0.5400183566791048,0.4599816433208952
2020-08-31,0.9,0.1
2020-11-30,0.43346894521547596,0.566531054784524
2021-02-28,0.5487673620636944,0.45123263793630564
2021-05-31,0.5087840075673743,0.49121599243262565
2021-08-31,0.4273697941732307,0.5726302058267694
2021-11-30,0.5537034351408641,0.44629656485913594
2022-02-28,0.4958379458870605,0.5041620541129395
2022-05-31,0.6496411606715425,0.35035883932845746
2022-08-31,0.5298315743247739,0.47016842567522615
2022-11-30,0.5980115904522034,0.4019884095477965
2023-02-28,0.45320259916297645,0.5467974008370236
2023-05-31,0.46602353408126884,0.5339764659187312
2023-08-31,0.48681298935053535,0.5131870106494647
2023-11-30,0.48006450734770795,0.5199354926522921
2024-02-29,0.4999152436795462,0.5000847563204538
2024-05-31,0.5571870698033282,0.4428129301966718
2024-08-31,0.5117712890174658,0.48822871098253423
2024-11-30,0.5007641896022677,0.4992358103977324
2025-02-28,0.5310198218103294,0.4689801781896706
2025-05-31,0.4724433994332548,0.5275566005667451
2025-08-31,0.5431922020194913,0.45680779798050875
2025-11-30,0.4465070256814924,0.5534929743185075
